 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R,RObs
2012- 7- 4 16: 0: 0,     0.830,     0.001,     0.001,     0.001,   118.807,     0.927,     2.084,     6.488,     0.014,     0.598,   439.090,   588.000
2012- 7- 4 17: 0: 0,     0.071,     0.001,     0.001,     0.001,   118.830,     0.927,     1.411,     6.432,     0.000,     0.046,   330.888,   532.000
2012- 7- 4 18: 0: 0,     0.008,     0.000,     0.000,     0.000,   118.833,     0.927,     0.939,     6.367,     0.000,     0.005,   249.637,   472.000
2012- 7- 4 19: 0: 0,     0.008,     0.000,     0.000,     0.000,   118.835,     0.927,     0.616,     6.305,     0.000,     0.006,   190.762,   450.000
2012- 7- 4 20: 0: 0,     0.000,     0.000,     0.000,     0.000,   118.835,     0.927,     0.397,     6.245,     0.000,     0.000,   148.338,   424.000
2012- 7- 4 21: 0: 0,     0.000,     0.000,     0.000,     0.000,   118.835,     0.927,     0.250,     6.189,     0.000,     0.000,   117.658,   377.000
2012- 7- 4 22: 0: 0,     0.007,     0.000,     0.000,     0.000,   118.838,     0.927,     0.154,     6.137,     0.000,     0.004,    95.611,   330.000
2012- 7- 4 23: 0: 0,     0.000,     0.000,     0.000,     0.000,   118.838,     0.927,     0.093,     6.087,     0.000,     0.000,    80.071,   314.500
2012- 7- 5  0: 0: 0,     0.000,     0.038,     0.038,     0.036,   118.802,     0.927,     0.054,     6.039,     0.000,     0.000,    69.419,   299.000
2012- 7- 5  1: 0: 0,     0.000,     0.038,     0.038,     0.036,   118.767,     0.927,     0.031,     5.994,     0.000,     0.000,    62.375,   284.500
2012- 7- 5  2: 0: 0,     0.000,     0.038,     0.038,     0.036,   118.731,     0.926,     0.017,     5.950,     0.000,     0.000,    57.948,   270.000
2012- 7- 5  3: 0: 0,     0.000,     0.344,     0.344,     0.319,   118.412,     0.924,     0.010,     5.907,     0.000,     0.000,    55.398,   262.333
2012- 7- 5  4: 0: 0,     0.000,     0.344,     0.344,     0.318,   118.094,     0.921,     0.005,     5.865,     0.000,     0.000,    54.197,   254.667
2012- 7- 5  5: 0: 0,     0.000,     0.344,     0.344,     0.317,   117.777,     0.919,     0.003,     5.823,     0.000,     0.000,    53.973,   247.000
2012- 7- 5  6: 0: 0,     0.000,     0.527,     0.527,     0.484,   117.294,     0.915,     0.001,     5.780,     0.000,     0.000,    54.470,   240.333
2012- 7- 5  7: 0: 0,     0.001,     0.527,     0.527,     0.481,   116.812,     0.911,     0.001,     5.737,     0.000,     0.000,    55.509,   233.667
2012- 7- 5  8: 0: 0,     0.007,     0.527,     0.527,     0.473,   116.340,     0.907,     0.000,     5.693,     0.000,     0.000,    56.965,   227.000
2012- 7- 5  9: 0: 0,     0.000,     0.435,     0.435,     0.395,   115.945,     0.904,     0.000,     5.648,     0.000,     0.000,    58.748,   199.333
2012- 7- 5 10: 0: 0,     0.000,     0.435,     0.435,     0.393,   115.552,     0.901,     0.000,     5.601,     0.000,     0.000,    60.790,   171.667
2012- 7- 5 11: 0: 0,     0.003,     0.435,     0.435,     0.389,   115.163,     0.898,     0.000,     5.553,     0.000,     0.000,    63.045,   144.000
2012- 7- 5 12: 0: 0,     0.000,     0.114,     0.114,     0.102,   115.061,     0.897,     0.000,     5.503,     0.000,     0.000,    65.479,   143.000
